category,trait,weight,count,percent
Background,periwinkle,90,4,16.7
Background,sky,85,7,29.2
Background,mint,70,3,12.5
Background,plasma violet,65,2,8.3
Background,rose,60,4,16.7
Background,butter,55,4,16.7
Background,charcoal,30,0,0.0
Head,sky,100,5,20.8
Head,white,90,7,29.2
Head,gray,80,2,8.3
Head,cream,80,2,8.3
Head,tabby,70,5,20.8
Head,pink,55,0,0.0
Head,mint,45,2,8.3
Head,lavender,35,1,4.2
Eyes,dots,100,6,25.0
Eyes,bead,70,6,25.0
Eyes,squint,55,5,20.8
Eyes,sleepy,40,4,16.7
Eyes,wink,25,3,12.5
Mouth,smile,100,13,54.2
Mouth,line,70,7,29.2
Mouth,grin,55,1,4.2
Mouth,blep,35,3,12.5
Blush,None,70,17,70.8
Blush,blush,30,7,29.2
Glasses,None,65,17,70.8
Glasses,round-lavender,25,1,4.2
Glasses,shades,18,4,16.7
Glasses,round-gold,15,2,8.3
Accessory,None,70,19,79.2
Accessory,flower,30,5,20.8
